id,name,slug,priceZAR,category,size,scentNotes,tags,images,description,whatsappSku,stock,active
3010,Lemongrass Bath Salt,lemongrass-bath-salts-100g,0.0,Bath Salts,100g,"Crisp, lemony, earthy","lemongrass, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/bath-salts-lemongrass.jpg,"Immerse yourself in the soothing experience of our handcrafted lemongrass bath salt. Scent notes: Crisp, lemony, earthy. (100g)",3010,10,True
3011,Lemongrass Bath Salt,lemongrass-bath-salts-500g,0.0,Bath Salts,500g,"Crisp, lemony, earthy","lemongrass, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/bath-salts-lemongrass.jpg,"Immerse yourself in the soothing experience of our handcrafted lemongrass bath salt. Scent notes: Crisp, lemony, earthy. (500g)",3011,10,True
3012,Lemon Bath Bomb,lemon-bath-bombs-60g,0.0,Bath Bombs,60g,"Citrusy, bright, zesty","lemon, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/bath-bombs-lemon.jpg,"Immerse yourself in the soothing experience of our handcrafted lemon bath bomb. Scent notes: Citrusy, bright, zesty. (60g)",3012,10,True
3013,Rose Bath Bomb,rose-bath-bombs-60g,0.0,Bath Bombs,60g,"Floral, romantic, soft","rose, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-bombs-rose.jpg,"Immerse yourself in the soothing experience of our handcrafted rose bath bomb. Scent notes: Floral, romantic, soft. (60g)",3013,10,True
3014,Vanilla Bath Bomb,vanilla-bath-bombs-60g,0.0,Bath Bombs,60g,"Sweet, warm, comforting","vanilla, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-bombs-vanilla.jpg,"Immerse yourself in the soothing experience of our handcrafted vanilla bath bomb. Scent notes: Sweet, warm, comforting. (60g)",3014,10,True
3015,Peppermint Bath Bomb,peppermint-bath-bombs-60g,0.0,Bath Bombs,60g,"Cool, minty, refreshing","peppermint, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/bath-bombs-peppermint.jpg,"Immerse yourself in the soothing experience of our handcrafted peppermint bath bomb. Scent notes: Cool, minty, refreshing. (60g)",3015,10,True
3016,Lavender Bath Bomb,lavender-bath-bombs-60g,0.0,Bath Bombs,60g,"Calming, floral, clean","lavender, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-bombs-lavender.jpg,"Immerse yourself in the soothing experience of our handcrafted lavender bath bomb. Scent notes: Calming, floral, clean. (60g)",3016,10,True
3017,Tea Tree Bath Bomb,tea-tree-bath-bombs-60g,0.0,Bath Bombs,60g,"Medicinal, earthy, crisp","tea tree, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/bath-bombs-tea-tree.jpg,"Immerse yourself in the soothing experience of our handcrafted tea tree bath bomb. Scent notes: Medicinal, earthy, crisp. (60g)",3017,10,True
3018,Rosemary Shower Steamer,rosemary-shower-steamers-50g,0.0,Shower Steamers,50g,"Herbaceous, woody, crisp","rosemary, natural, spa, relaxation, herbal",https://serene-bathworks.com/images/shower-steamers-rosemary.jpg,"Immerse yourself in the soothing experience of our handcrafted rosemary shower steamer. Scent notes: Herbaceous, woody, crisp. (50g)",3018,10,True
3019,Eucalyptus Shower Steamer,eucalyptus-shower-steamers-50g,0.0,Shower Steamers,50g,"Fresh, minty, invigorating","eucalyptus, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/shower-steamers-eucalyptus.jpg,"Immerse yourself in the soothing experience of our handcrafted eucalyptus shower steamer. Scent notes: Fresh, minty, invigorating. (50g)",3019,10,True
3020,Peppermint Shower Steamer,peppermint-shower-steamers-50g,0.0,Shower Steamers,50g,"Cool, minty, refreshing","peppermint, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/shower-steamers-peppermint.jpg,"Immerse yourself in the soothing experience of our handcrafted peppermint shower steamer. Scent notes: Cool, minty, refreshing. (50g)",3020,10,True
3021,Lavender Shower Steamer,lavender-shower-steamers-50g,0.0,Shower Steamers,50g,"Calming, floral, clean","lavender, natural, spa, relaxation, floral",https://serene-bathworks.com/images/shower-steamers-lavender.jpg,"Immerse yourself in the soothing experience of our handcrafted lavender shower steamer. Scent notes: Calming, floral, clean. (50g)",3021,10,True
3022,Lemongrass Shower Steamer,lemongrass-shower-steamers-50g,0.0,Shower Steamers,50g,"Crisp, lemony, earthy","lemongrass, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/shower-steamers-lemongrass.jpg,"Immerse yourself in the soothing experience of our handcrafted lemongrass shower steamer. Scent notes: Crisp, lemony, earthy. (50g)",3022,10,True
3023,Lemon Shower Steamer,lemon-shower-steamers-50g,0.0,Shower Steamers,50g,"Citrusy, bright, zesty","lemon, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/shower-steamers-lemon.jpg,"Immerse yourself in the soothing experience of our handcrafted lemon shower steamer. Scent notes: Citrusy, bright, zesty. (50g)",3023,10,True
